location_type,map_label,lat,lon,country,candidate_rank,opportunity_tier
Existing Greggs,Greggs,53.6921884,-1.6282787,England,,
Existing Greggs,Greggs,50.8514764,-0.982542,England,,
Existing Greggs,Greggs,52.1476864,1.0811105,England,,
Existing Greggs,Greggs,51.5433077,-2.4395025,England,,
Existing Greggs,Greggs,54.9749293,-1.612023,England,,
Existing Greggs,Greggs,51.2399048,0.5571957,England,,
Existing Greggs,Greggs,53.3489772,-2.1205281,England,,
Existing Greggs,Greggs,50.7169592,-3.4661003,England,,
Existing Greggs,Greggs,53.4729701,-2.2398599,England,,
Existing Greggs,Greggs,54.9693129,-1.6176416,England,,
Existing Greggs,Greggs,51.3964246,0.173715,England,,
Existing Greggs,Greggs,52.6075071,-1.6398736,England,,
Existing Greggs,Greggs,55.8759494,-4.3238274,Scotland,,
Existing Greggs,Greggs,55.8606812,-4.2572073,Scotland,,
Existing Greggs,Greggs,53.8153333,-3.0542456,England,,
Existing Greggs,Greggs,55.4137767,-1.7063868,England,,
Existing Greggs,Greggs,55.8585588,-4.2172953,Scotland,,
Existing Greggs,Greggs,55.8248,-4.2577795,Scotland,,
Existing Greggs,Greggs,51.6550346,-0.2015562,England,,
Existing Greggs,Greggs,51.574847,-1.770472,England,,
Existing Greggs,Greggs,55.9360104,-3.2097801,Scotland,,
Existing Greggs,Greggs,54.9257765,-2.9475974,England,,
Existing Greggs,Greggs,54.40354,-1.7379071,England,,
Existing Greggs,Greggs,52.4574949,1.5627892,England,,
Existing Greggs,Greggs,53.3946493,-2.0626107,England,,
Existing Greggs,Greggs,56.0759966,-3.9220427,Scotland,,
Existing Greggs,Greggs,52.4136384,-1.7786945,England,,
Existing Greggs,Greggs,55.8364764,-4.2645945,Scotland,,
Existing Greggs,Greggs,51.856918,-4.3081514,Wales,,
Existing Greggs,Greggs,51.3924992,-0.3056016,England,,
Existing Greggs,Greggs,52.0384241,0.7298239,England,,
Existing Greggs,Greggs,51.7774137,-3.758498,Wales,,
Existing Greggs,Greggs,51.474443,-0.2071398,England,,
Existing Greggs,Greggs,54.5438564,-1.9237703,England,,
Existing Greggs,Greggs,51.5841146,-0.0242932,England,,
Existing Greggs,Greggs,51.3643613,-0.298551,England,,
Existing Greggs,Greggs,54.5717357,-1.1643283,England,,
Existing Greggs,Greggs,53.2279881,-4.1258112,Wales,,
Existing Greggs,Greggs,55.6517653,-3.1904639,Scotland,,
Existing Greggs,Greggs,51.4923159,0.2721868,England,,
Existing Greggs,Greggs,53.7475349,-1.5475156,England,,
Existing Greggs,Greggs,53.8070018,-1.5863886,England,,
Existing Greggs,Greggs,51.7318195,-1.2177307,England,,
Existing Greggs,Greggs,51.4736423,-0.0933523,England,,
Existing Greggs,Greggs,54.6997701,-1.60193,England,,
Existing Greggs,Greggs,51.5226697,-3.391318,Wales,,
Existing Greggs,Greggs,53.797298,-1.5359894,England,,
Existing Greggs,Greggs,51.3745456,-0.0966664,England,,
Existing Greggs,Greggs,54.821117,-1.4520509,England,,
Existing Greggs,Greggs,54.9630989,-1.6308988,England,,
Existing Greggs,Greggs,55.9466669,-3.2163737,Scotland,,
Existing Greggs,Greggs,51.4624325,-0.1367599,England,,
Existing Greggs,Greggs,52.6893051,-2.0307745,England,,
Existing Greggs,Greggs,50.4356449,-3.566955,England,,
Existing Greggs,Greggs,55.9424799,-3.2816617,Scotland,,
Existing Greggs,Greggs,51.5938735,0.0247495,England,,
Existing Greggs,Greggs,55.9717251,-3.2527169,Scotland,,
Existing Greggs,Greggs,50.786164,-1.0879806,England,,
Existing Greggs,Greggs,55.9242818,-4.4020817,Scotland,,
Existing Greggs,Greggs,55.9501543,-3.2086036,Scotland,,
Existing Greggs,Greggs,53.4892963,-2.3262788,England,,
Existing Greggs,Greggs,52.4792888,-1.894565,England,,
Existing Greggs,Greggs,55.8651377,-4.2522281,Scotland,,
Existing Greggs,Greggs,55.8610492,-4.2551183,Scotland,,
Existing Greggs,Greggs,55.883326,-4.2539991,Scotland,,
Existing Greggs,Greggs,55.7605362,-4.2272336,Scotland,,
Existing Greggs,Greggs,52.9460691,-1.1312671,England,,
Existing Greggs,Greggs,51.5224773,-3.5008531,Wales,,
Existing Greggs,Greggs,51.5252088,-0.087003,England,,
Existing Greggs,Greggs,52.4821065,-1.8975461,England,,
Existing Greggs,Greggs,53.7969787,-1.5405446,England,,
Existing Greggs,Greggs,55.8609538,-4.2440439,Scotland,,
Existing Greggs,Greggs,53.6442679,-1.7718357,England,,
Existing Greggs,Greggs,51.3714371,-0.1006147,England,,
Existing Greggs,Greggs,55.9517068,-3.2027827,Scotland,,
Existing Greggs,Greggs,52.6073739,1.7269104,England,,
Existing Greggs,Greggs,52.3869183,-2.2494058,England,,
Existing Greggs,Greggs,53.7963216,-1.5532367,England,,
Existing Greggs,Greggs,53.7963936,-1.5422418,England,,
Existing Greggs,Greggs,52.2448274,0.7137012,England,,
Existing Greggs,Greggs,52.5404035,-2.1210088,England,,
Existing Greggs,Greggs,55.9530315,-3.1960873,Scotland,,
Existing Greggs,Greggs,50.9146737,-1.3608484,England,,
Existing Greggs,Greggs,52.4293139,-2.019124,England,,
Existing Greggs,Greggs,52.9559277,-1.1830701,England,,
Existing Greggs,Greggs,52.9514051,-1.1488122,England,,
Existing Greggs,Greggs,53.4978899,-2.2367026,England,,
Existing Greggs,Greggs,52.1872744,0.9965924,England,,
Existing Greggs,Greggs,52.9647814,-1.2275446,England,,
Existing Greggs,Greggs,52.9792965,-1.2083083,England,,
Existing Greggs,Greggs,52.9030312,-1.1778681,England,,
Existing Greggs,Greggs,53.0107241,-1.1902341,England,,
Existing Greggs,Greggs,52.2466307,0.7122349,England,,
Existing Greggs,Greggs,51.5762291,-0.0976289,England,,
Existing Greggs,Greggs,51.1565575,0.2891504,England,,
Existing Greggs,Greggs,53.0010508,-1.197251,England,,
Existing Greggs,Greggs,51.5227019,-0.7200765,England,,
Existing Greggs,Greggs,55.7727199,-4.3340357,Scotland,,
Existing Greggs,Greggs,55.9492997,-3.1869455,Scotland,,
Existing Greggs,Greggs,53.9053528,-1.6938527,England,,
Existing Greggs,Greggs,55.9453196,-3.2056398,Scotland,,
Existing Greggs,Greggs,55.9751724,-3.2380439,Scotland,,
Existing Greggs,Greggs,53.6523972,-1.5239529,England,,
Existing Greggs,Greggs,55.9453731,-3.1841997,Scotland,,
Existing Greggs,Greggs,55.9655262,-3.2738894,Scotland,,
Existing Greggs,Greggs,53.1387165,-1.5557698,England,,
Existing Greggs,Greggs,52.5414787,-1.3718496,England,,
Existing Greggs,Greggs,55.9528373,-3.1139369,Scotland,,
Existing Greggs,Greggs,53.443225,-1.9507242,England,,
Existing Greggs,Greggs,55.9273938,-3.1641206,Scotland,,
Existing Greggs,Greggs,53.8376122,-1.6412222,England,,
Existing Greggs,Greggs,53.26026,-2.126261,England,,
Existing Greggs,Greggs,54.9247972,-1.6177017,England,,
Existing Greggs,Greggs,54.9690902,-1.6049181,England,,
Existing Greggs,Greggs,53.8285627,-1.5642767,England,,
Existing Greggs,Greggs,52.056637,1.1563491,England,,
Existing Greggs,Greggs,51.5879209,-0.0624092,England,,
Existing Greggs,Greggs,55.9591279,-3.1715305,Scotland,,
Existing Greggs,Greggs,53.4043619,-2.9868015,England,,
Existing Greggs,Greggs,57.1504204,-2.1016472,Scotland,,
Existing Greggs,Greggs,53.3752809,-1.474608,England,,
Existing Greggs,Greggs,52.4372628,-1.971066,England,,
Existing Greggs,Greggs,53.480137,-2.2334927,England,,
Existing Greggs,Greggs,55.0216834,-1.5662707,England,,
Existing Greggs,Greggs,51.3714117,-0.4883768,England,,
Existing Greggs,Greggs,51.5813972,-0.3373751,England,,
Existing Greggs,Greggs,55.9591945,-2.984781,Scotland,,
Existing Greggs,Greggs,53.7954667,-1.6207982,England,,
Existing Greggs,Greggs,52.5179114,-1.9020911,England,,
Existing Greggs,Greggs,52.2008258,-1.7135911,England,,
Existing Greggs,Greggs,54.5771466,-1.2389509,England,,
Existing Greggs,Greggs,54.5811379,-5.9659817,Northern Ireland,,
Existing Greggs,Greggs,52.3954215,-1.9840283,England,,
Existing Greggs,Greggs,52.9186915,-1.4728013,England,,
Existing Greggs,Greggs,52.2814168,-1.5892154,England,,
Existing Greggs,Greggs,52.0865275,-0.2653026,England,,
Existing Greggs,Greggs,51.3658143,-0.19402,England,,
Existing Greggs,Greggs,51.3618988,-0.1921976,England,,
Existing Greggs,Greggs,52.7148118,-2.8056664,England,,
Existing Greggs,Greggs,52.1927905,-2.2208791,England,,
Existing Greggs,Greggs,51.013873,-3.1025724,England,,
Existing Greggs,Greggs,53.4058056,-2.9672186,England,,
Existing Greggs,Greggs,51.7364534,0.4665083,England,,
Existing Greggs,Greggs,51.7707751,0.094117,England,,
Existing Greggs,Greggs,51.3372708,-0.7459494,England,,
Existing Greggs,Greggs,55.8757291,-3.106774,Scotland,,
Existing Greggs,Greggs,53.4790114,-2.2419704,England,,
Existing Greggs,Greggs,53.4819196,-2.2446369,England,,
Existing Greggs,Greggs,53.4779365,-2.2315274,England,,
Existing Greggs,Greggs,54.9646838,-1.7113182,England,,
Existing Greggs,Greggs,52.428468,-1.4995926,England,,
Existing Greggs,Greggs,52.4769085,-2.0680613,England,,
Existing Greggs,Greggs,56.1963223,-3.1720761,Scotland,,
Existing Greggs,Greggs,56.1986454,-3.1732477,Scotland,,
Existing Greggs,Greggs,55.9414822,-3.1811855,Scotland,,
Existing Greggs,Greggs,52.0353571,-0.7744852,England,,
Existing Greggs,Greggs,55.9333199,-3.2609639,Scotland,,
Existing Greggs,Greggs Outlet,52.6420133,-1.0904148,England,,
Existing Greggs,Greggs,52.2068021,0.1297291,England,,
Existing Greggs,Greggs,52.2130223,-2.1779097,England,,
Existing Greggs,Greggs,53.484394,-2.240025,England,,
Existing Greggs,Greggs,54.9030119,-1.3850899,England,,
Existing Greggs,Greggs,52.3748705,1.1091121,England,,
Existing Greggs,Greggs,54.8960784,-2.9357075,England,,
Existing Greggs,Greggs,54.8953539,-2.9348553,England,,
Existing Greggs,Greggs,53.4613477,-2.2291258,England,,
Existing Greggs,Greggs Outlet,52.4657223,-1.8918448,England,,
Existing Greggs,Greggs,51.727461,-2.5282667,England,,
Existing Greggs,Greggs,51.4563045,-2.5903468,England,,
Existing Greggs,Greggs,52.3061925,-1.9430807,England,,
Existing Greggs,Greggs,52.3354657,-2.0599721,England,,
Existing Greggs,Greggs,52.4171913,-1.9678064,England,,
Existing Greggs,Greggs,54.9624642,-1.6024987,England,,
Existing Greggs,Greggs,54.9767365,-1.6144828,England,,
Existing Greggs,Greggs,55.8895324,-4.3231511,Scotland,,
Existing Greggs,Greggs,51.3195415,-0.5589279,England,,
Existing Greggs,Greggs,52.5838945,-1.9814402,England,,
Existing Greggs,Greggs,52.5835817,-1.9834886,England,,
Existing Greggs,Greggs,55.937526,-3.2342477,Scotland,,
Existing Greggs,Greggs,51.3374247,-0.746603,England,,
Existing Greggs,Greggs,52.301402,-0.6920102,England,,
